"rid", "binaryID"
81,11101011101111111101100110000000110101011001111011
137,11101011101111111101100110000000110110110011001010
175,11101011101111111101100110000000110110110011001011
245,11101011101111111101100111011010111101110110000010
246,11101011101111111101100111011010111101110110000011
292,11101011101111111101100111011010111101110110000100
312,11101011101111111101100111011010111101110110000101
513,11101011101111111101100111011010111101111100110100
514,11101011101111111101100111011010111101111100110101
629,11101011101111111101100111011010111101111100111000
637,11101011101111111101100111011010111101111100111001
640,11101011101111111101100111011010111101111100111010
641,11101011101111111101100111011010111101111100111011
697,11101011101111111101100111011010111110101010011110
702,11101011101111111101100111011010111110101010011111
19,111010111011111111011001100000001101010110011110000
20,111010111011111111011001100000001101010110011110001
63,111010111011111111011001100000001101010110011110100
110,111010111011111111011001100000001101010110011110101
96,111010111011111111011001100000001101010110011110110
107,111010111011111111011001100000001101010110011110111
138,111010111011111111011001100000001101101100110010100
149,111010111011111111011001100000001101101100110010101
212,111010111011111111011001110110101111011101100000110
214,111010111011111111011001110110101111011101100000111
284,111010111011111111011001110110101111011101100001000
802,111010111011111111011001110110101111011101100001001
313,111010111011111111011001110110101111011101100001010
336,111010111011111111011001110110101111011101100001011
478,111010111011111111011001110110101111011111001101000
479,111010111011111111011001110110101111011111001101001
502,111010111011111111011001110110101111011111001101010
530,111010111011111111011001110110101111011111001101011
634,111010111011111111011001110110101111011111001110000
646,111010111011111111011001110110101111011111001110001
639,111010111011111111011001110110101111011111001110010
657,111010111011111111011001110110101111011111001110011
642,111010111011111111011001110110101111011111001110110
648,111010111011111111011001110110101111011111001110111
703,111010111011111111011001110110101111101010100111110
721,111010111011111111011001110110101111101010100111111
53,1110101110111111110110011000000011010101100111101000
101,1110101110111111110110011000000011010101100111101001
150,1110101110111111110110011000000011011011001100101010
151,1110101110111111110110011000000011011011001100101011
282,1110101110111111110110011101101011110111011000010010
283,1110101110111111110110011101101011110111011000010011
452,1110101110111111110110011101101011110111110011010010
453,1110101110111111110110011101101011110111110011010011
473,1110101110111111110110011101101011110111110011010100
490,1110101110111111110110011101101011110111110011010101
675,1110101110111111110110011101101011110111110011100110
682,1110101110111111110110011101101011110111110011100111
623,1110101110111111110110011101101011110111110011101100
624,1110101110111111110110011101101011110111110011101101
649,1110101110111111110110011101101011110111110011101110
667,1110101110111111110110011101101011110111110011101111
693,1110101110111111110110011101101011111010101001111100
695,1110101110111111110110011101101011111010101001111101
722,1110101110111111110110011101101011111010101001111110
730,1110101110111111110110011101101011111010101001111111
42,11101011101111111101100110000000110101011001111010000
64,11101011101111111101100110000000110101011001111010001
468,11101011101111111101100111011010111101111100110101000
474,11101011101111111101100111011010111101111100110101001
495,11101011101111111101100111011010111101111100110101010
504,11101011101111111101100111011010111101111100110101011
678,11101011101111111101100111011010111101111100111001100
681,11101011101111111101100111011010111101111100111001101
692,11101011101111111101100111011010111101111100111001110
704,11101011101111111101100111011010111101111100111001111
612,11101011101111111101100111011010111101111100111011010
613,11101011101111111101100111011010111101111100111011011
669,11101011101111111101100111011010111101111100111011110
670,11101011101111111101100111011010111101111100111011111
733,11101011101111111101100111011010111110101010011111110
742,11101011101111111101100111011010111110101010011111111
38,111010111011111111011001100000001101010110011110100000
