Month ,Variable,Period,GCM,Value
3,T,F,HadGEM2-CC365,11.77
4,T,F,HadGEM2-CC365,11.79
5,T,F,HadGEM2-CC365,14.57
6,T,F,HadGEM2-CC365,18.11
7,T,F,HadGEM2-CC365,23.75
8,T,F,HadGEM2-CC365,25.02
9,T,F,HadGEM2-CC365,21.85
10,T,F,HadGEM2-CC365,14.70
11,T,F,HadGEM2-CC365,8.82
12,T,F,HadGEM2-CC365,5.68
1,P,H,HadGEM2-ES365,394.10
2,P,H,HadGEM2-ES365,245.42
3,P,H,HadGEM2-ES365,244.28
4,P,H,HadGEM2-ES365,194.57
5,P,H,HadGEM2-ES365,127.17
6,P,H,HadGEM2-ES365,120.00
7,P,H,HadGEM2-ES365,39.06
8,P,H,HadGEM2-ES365,49.81
9,P,H,HadGEM2-ES365,124.50
10,P,H,HadGEM2-ES365,250.54
11,P,H,HadGEM2-ES365,346.52
12,P,H,HadGEM2-ES365,345.50
1,P,F,HadGEM2-ES365,373.77
2,P,F,HadGEM2-ES365,280.37
3,P,F,HadGEM2-ES365,202.75
4,P,F,HadGEM2-ES365,222.45
5,P,F,HadGEM2-ES365,129.82
6,P,F,HadGEM2-ES365,51.64
7,P,F,HadGEM2-ES365,21.69
8,P,F,HadGEM2-ES365,33.13
9,P,F,HadGEM2-ES365,79.53
10,P,F,HadGEM2-ES365,430.29
11,P,F,HadGEM2-ES365,348.84
12,P,F,HadGEM2-ES365,335.17
1,T,H,HadGEM2-ES365,1.07
2,T,H,HadGEM2-ES365,1.13
3,T,H,HadGEM2-ES365,3.35
4,T,H,HadGEM2-ES365,6.68
5,T,H,HadGEM2-ES365,9.98
6,T,H,HadGEM2-ES365,12.50
7,T,H,HadGEM2-ES365,16.29
8,T,H,HadGEM2-ES365,16.19
9,T,H,HadGEM2-ES365,12.45
10,T,H,HadGEM2-ES365,9.21
11,T,H,HadGEM2-ES365,3.87
12,T,H,HadGEM2-ES365,1.25
1,T,F,HadGEM2-ES365,6.88
2,T,F,HadGEM2-ES365,9.55
3,T,F,HadGEM2-ES365,12.71
4,T,F,HadGEM2-ES365,11.97
5,T,F,HadGEM2-ES365,14.83
6,T,F,HadGEM2-ES365,19.85
7,T,F,HadGEM2-ES365,24.38
8,T,F,HadGEM2-ES365,24.66
9,T,F,HadGEM2-ES365,21.65
10,T,F,HadGEM2-ES365,14.65
11,T,F,HadGEM2-ES365,8.62
12,T,F,HadGEM2-ES365,7.12
